"","Jahr","Sentinella.Woche","Konsultationen.pro.100.000.Einwohner","percent.positivity.from.plot","percent_pos_influenza","est_influenza_cases","year_week_day","first_day_of_week","date","daily_cases","date_2","is_observation"
"1",2021,40,23.9,-0.2878313345,0,0,"2021-40-0",2021-10-02,2021-10-05,0,2021-10-05,TRUE
"2",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-06,1.74360161534581e-05,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-07,3.2692530287734e-05,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-08,4.35900403836455e-05,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-09,4.79490444220101e-05,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-10,4.35900403836456e-05,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-11,2.83335262493696e-05,NA,NA
"8",2021,41,25.5,-0.142999007,0,0,"2021-41-0",2021-10-09,2021-10-12,0,2021-10-12,TRUE
"9",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-13,0,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-14,0,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-15,0,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-16,0,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-17,0,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-18,0,NA,NA
"15",2021,42,26.7,-0.2786647315,0,0,"2021-42-0",2021-10-16,2021-10-19,0,2021-10-19,TRUE
"16",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-20,0.000148206137304395,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-21,0.000316027792781431,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-22,0.000462054428066645,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-23,0.000544875504795571,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-24,0.000523080484603749,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-25,0.000355258829126713,NA,NA
"22",2021,43,49.7,-0.1340361062,0,0,"2021-43-0",2021-10-23,2021-10-26,0,2021-10-26,TRUE
"23",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-27,0,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-28,0,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-29,0,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-30,0,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,2021-10-31,0,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,2021-11-01,0,NA,NA
"29",2021,44,46,0.01038881674,0.01038881674,0.0047788557004,"2021-44-0",2021-10-30,2021-11-02,0.000682693671485714,2021-11-02,TRUE
"30",NA,NA,NA,NA,NA,NA,NA,NA,2021-11-03,0.00312083083153073,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,2021-11-04,0.00619719997234727,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,2021-11-05,0.00961207313974013,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,2021-11-06,0.0130657223795142,NA,NA
